*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Mon Jun  8 11:26:02 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260605.p260901
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-JUN-05. PREDICTS-> 2026-AUG-31
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461132.590659722, A.D. 2026-Apr-02 02:10:33.0000, -3.845569990762678E+05, -8.147606518524674E+04, -1.974910541204172E+04,  1.728710309775602E-01, -9.860727626087638E-01, -7.732320975830609E-02,
2461132.591354167, A.D. 2026-Apr-02 02:11:33.0000, -3.845466222883304E+05, -8.153522859185725E+04, -1.975374456795304E+04,  1.730218991212374E-01, -9.860407872390784E-01, -7.731532033391991E-02,
2461132.592048611, A.D. 2026-Apr-02 02:12:33.0000, -3.845362364485109E+05, -8.159439007925510E+04, -1.975838325044754E+04,  1.731727603812374E-01, -9.860087888527214E-01, -7.730742919688838E-02,
2461132.592743055, A.D. 2026-Apr-02 02:13:33.0000, -3.845258415572224E+05, -8.165354964605927E+04, -1.976302145942245E+04,  1.733236147542798E-01, -9.859767674512614E-01, -7.729953634745979E-02,
2461132.593437500, A.D. 2026-Apr-02 02:14:33.0000, -3.845154376148782E+05, -8.171270729088898E+04, -1.976765919477499E+04,  1.734744622370840E-01, -9.859447230362659E-01, -7.729164178588216E-02,
2461132.594131944, A.D. 2026-Apr-02 02:15:33.0000, -3.845050246218918E+05, -8.177186301236341E+04, -1.977229645640250E+04,  1.736253028263702E-01, -9.859126556093037E-01, -7.728374551240397E-02,
2461132.594826389, A.D. 2026-Apr-02 02:16:33.0000, -3.844946025786769E+05, -8.183101680910189E+04, -1.977693324420226E+04,  1.737761365188590E-01, -9.858805651719441E-01, -7.727584752727323E-02,
2461132.595520834, A.D. 2026-Apr-02 02:17:33.0000, -3.844841714856476E+05, -8.189016867972385E+04, -1.978156955807155E+04,  1.739269633112712E-01, -9.858484517257557E-01, -7.726794783073859E-02,
2461132.596215278, A.D. 2026-Apr-02 02:18:33.0000, -3.844737313432176E+05, -8.194931862284883E+04, -1.978620539790770E+04,  1.740777832003282E-01, -9.858163152723091E-01, -7.726004642304812E-02,
2461132.596909722, A.D. 2026-Apr-02 02:19:33.0000, -3.844632821518016E+05, -8.200846663709641E+04, -1.979084076360809E+04,  1.742285961827515E-01, -9.857841558131745E-01, -7.725214330445002E-02,
2461132.597604167, A.D. 2026-Apr-02 02:20:33.0000, -3.844528239118139E+05, -8.206761272108633E+04, -1.979547565507002E+04,  1.743794022552635E-01, -9.857519733499226E-01, -7.724423847519296E-02,
2461132.598298611, A.D. 2026-Apr-02 02:21:33.0000, -3.844423566236692E+05, -8.212675687343835E+04, -1.980011007219091E+04,  1.745302014145866E-01, -9.857197678841244E-01, -7.723633193552515E-02,
2461132.598993056, A.D. 2026-Apr-02 02:22:33.0000, -3.844318802877825E+05, -8.218589909277241E+04, -1.980474401486808E+04,  1.746809936574437E-01, -9.856875394173517E-01, -7.722842368569499E-02,
2461132.599687500, A.D. 2026-Apr-02 02:23:33.0000, -3.844213949045688E+05, -8.224503937770844E+04, -1.980937748299900E+04,  1.748317789805581E-01, -9.856552879511764E-01, -7.722051372595079E-02,
2461132.600381944, A.D. 2026-Apr-02 02:24:33.0000, -3.844109004744433E+05, -8.230417772686660E+04, -1.981401047648100E+04,  1.749825573806536E-01, -9.856230134871713E-01, -7.721260205654146E-02,
2461132.601076389, A.D. 2026-Apr-02 02:25:33.0000, -3.844003969978216E+05, -8.236331413886696E+04, -1.981864299521158E+04,  1.751333288544542E-01, -9.855907160269093E-01, -7.720468867771479E-02,
2461132.601770833, A.D. 2026-Apr-02 02:26:33.0000, -3.843898844751194E+05, -8.242244861232993E+04, -1.982327503908816E+04,  1.752840933986845E-01, -9.855583955719633E-01, -7.719677358971971E-02,
2461132.602465278, A.D. 2026-Apr-02 02:27:33.0000, -3.843793629067524E+05, -8.248158114587577E+04, -1.982790660800818E+04,  1.754348510100693E-01, -9.855260521239074E-01, -7.718885679280496E-02,
2461132.603159722, A.D. 2026-Apr-02 02:28:33.0000, -3.843688322931369E+05, -8.254071173812497E+04, -1.983253770186910E+04,  1.755856016853342E-01, -9.854936856843157E-01, -7.718093828721867E-02,
2461132.603854167, A.D. 2026-Apr-02 02:29:33.0000, -3.843582926346890E+05, -8.259984038769807E+04, -1.983716832056847E+04,  1.757363454212046E-01, -9.854612962547632E-01, -7.717301807320942E-02,
2461132.604548611, A.D. 2026-Apr-02 02:30:33.0000, -3.843477439318252E+05, -8.265896709321578E+04, -1.984179846400374E+04,  1.758870822144069E-01, -9.854288838368248E-01, -7.716509615102601E-02,
2461132.605243056, A.D. 2026-Apr-02 02:31:33.0000, -3.843371861849621E+05, -8.271809185329873E+04, -1.984642813207244E+04,  1.760378120616673E-01, -9.853964484320756E-01, -7.715717252091697E-02,
2461132.605937500, A.D. 2026-Apr-02 02:32:33.0000, -3.843266193945167E+05, -8.277721466656792E+04, -1.985105732467209E+04,  1.761885349597130E-01, -9.853639900420923E-01, -7.714924718313088E-02,
2461132.606631944, A.D. 2026-Apr-02 02:33:33.0000, -3.843160435609061E+05, -8.283633553164413E+04, -1.985568604170026E+04,  1.763392509052712E-01, -9.853315086684511E-01, -7.714132013791652E-02,
2461132.607326389, A.D. 2026-Apr-02 02:34:33.0000, -3.843054586845472E+05, -8.289545444714848E+04, -1.986031428305450E+04,  1.764899598950697E-01, -9.852990043127284E-01, -7.713339138552233E-02,
2461132.608020833, A.D. 2026-Apr-02 02:35:33.0000, -3.842948647658578E+05, -8.295457141170207E+04, -1.986494204863237E+04,  1.766406619258366E-01, -9.852664769765017E-01, -7.712546092619738E-02,
2461132.608715278, A.D. 2026-Apr-02 02:36:33.0000, -3.842842618052554E+05, -8.301368642392606E+04, -1.986956933833152E+04,  1.767913569943003E-01, -9.852339266613492E-01, -7.711752876019018E-02,
2461132.609409722, A.D. 2026-Apr-02 02:37:33.0000, -3.842736498031578E+05, -8.307279948244186E+04, -1.987419615204950E+04,  1.769420450971899E-01, -9.852013533688482E-01, -7.710959488774938E-02,
2461132.610104166, A.D. 2026-Apr-02 02:38:33.0000, -3.842630287599831E+05, -8.313191058587084E+04, -1.987882248968392E+04,  1.770927262312348E-01, -9.851687571005778E-01, -7.710165930912399E-02,
2461132.610798611, A.D. 2026-Apr-02 02:39:33.0000, -3.842523986761495E+05, -8.319101973283442E+04, -1.988344835113247E+04,  1.772434003931645E-01, -9.851361378581172E-01, -7.709372202456255E-02,
2461132.611493056, A.D. 2026-Apr-02 02:40:33.0000, -3.842417595520755E+05, -8.325012692195436E+04, -1.988807373629276E+04,  1.773940675797093E-01, -9.851034956430449E-01, -7.708578303431424E-02,
2461132.612187500, A.D. 2026-Apr-02 02:41:33.0000, -3.842311113881795E+05, -8.330923215185219E+04, -1.989269864506247E+04,  1.775447277875997E-01, -9.850708304569418E-01, -7.707784233862769E-02,
2461132.612881945, A.D. 2026-Apr-02 02:42:33.0000, -3.842204541848805E+05, -8.336833542114981E+04, -1.989732307733927E+04,  1.776953810135666E-01, -9.850381423013875E-01, -7.706989993775171E-02,
2461132.613576389, A.D. 2026-Apr-02 02:43:33.0000, -3.842097879425976E+05, -8.342743672846899E+04, -1.990194703302090E+04,  1.778460272543413E-01, -9.850054311779636E-01, -7.706195583193520E-02,
2461132.614270833, A.D. 2026-Apr-02 02:44:33.0000, -3.841991126617498E+05, -8.348653607243180E+04, -1.990657051200502E+04,  1.779966665066557E-01, -9.849726970882502E-01, -7.705401002142709E-02,
2461132.614965278, A.D. 2026-Apr-02 02:45:33.0000, -3.841884283427566E+05, -8.354563345166031E+04, -1.991119351418938E+04,  1.781472987672419E-01, -9.849399400338292E-01, -7.704606250647666E-02,
2461132.615659722, A.D. 2026-Apr-02 02:46:33.0000, -3.841777349860376E+05, -8.360472886477661E+04, -1.991581603947172E+04,  1.782979240328323E-01, -9.849071600162831E-01, -7.703811328733229E-02,
2461132.616354167, A.D. 2026-Apr-02 02:47:33.0000, -3.841670325920127E+05, -8.366382231040302E+04, -1.992043808774979E+04,  1.784485423001599E-01, -9.848743570371941E-01, -7.703016236424320E-02,
2461132.617048611, A.D. 2026-Apr-02 02:48:33.0000, -3.841563211611016E+05, -8.372291378716187E+04, -1.992505965892136E+04,  1.785991535659582E-01, -9.848415310981451E-01, -7.702220973745855E-02,
2461132.617743055, A.D. 2026-Apr-02 02:49:33.0000, -3.841456006937248E+05, -8.378200329367565E+04, -1.992968075288420E+04,  1.787497578269608E-01, -9.848086822007194E-01, -7.701425540722739E-02,
2461132.618437500, A.D. 2026-Apr-02 02:50:33.0000, -3.841348711903026E+05, -8.384109082856683E+04, -1.993430136953615E+04,  1.789003550799020E-01, -9.847758103465009E-01, -7.700629937379833E-02,
2461132.619131945, A.D. 2026-Apr-02 02:51:33.0000, -3.841241326512555E+05, -8.390017639045812E+04, -1.993892150877500E+04,  1.790509453215162E-01, -9.847429155370734E-01, -7.699834163742098E-02,
2461132.619826389, A.D. 2026-Apr-02 02:52:33.0000, -3.841133850770043E+05, -8.395925997797221E+04, -1.994354117049860E+04,  1.792015285485384E-01, -9.847099977740219E-01, -7.699038219834414E-02,
2461132.620520833, A.D. 2026-Apr-02 02:53:33.0000, -3.841026284679699E+05, -8.401834158973196E+04, -1.994816035460474E+04,  1.793521047577039E-01, -9.846770570589314E-01, -7.698242105681713E-02,
2461132.621215278, A.D. 2026-Apr-02 02:54:33.0000, -3.840918628245738E+05, -8.407742122436027E+04, -1.995277906099136E+04,  1.795026739457487E-01, -9.846440933933874E-01, -7.697445821308874E-02,
2461132.621909722, A.D. 2026-Apr-02 02:55:33.0000, -3.840810881472370E+05, -8.413649888048020E+04, -1.995739728955627E+04,  1.796532361094088E-01, -9.846111067789756E-01, -7.696649366740854E-02,
2461132.622604167, A.D. 2026-Apr-02 02:56:33.0000, -3.840703044363813E+05, -8.419557455671480E+04, -1.996201504019742E+04,  1.798037912454206E-01, -9.845780972172827E-01, -7.695852742002535E-02,
2461132.623298611, A.D. 2026-Apr-02 02:57:33.0000, -3.840595116924282E+05, -8.425464825168734E+04, -1.996663231281267E+04,  1.799543393505214E-01, -9.845450647098954E-01, -7.695055947118862E-02,
2461132.623993055, A.D. 2026-Apr-02 02:58:33.0000, -3.840487099157998E+05, -8.431371996402109E+04, -1.997124910729993E+04,  1.801048804214485E-01, -9.845120092584007E-01, -7.694258982114771E-02,
2461132.624687500, A.D. 2026-Apr-02 02:59:33.0000, -3.840378991069183E+05, -8.437278969233952E+04, -1.997586542355717E+04,  1.802554144549394E-01, -9.844789308643862E-01, -7.693461847015159E-02,
2461132.625381944, A.D. 2026-Apr-02 03:00:33.0000, -3.840270792662060E+05, -8.443185743526599E+04, -1.998048126148235E+04,  1.804059414477325E-01, -9.844458295294406E-01, -7.692664541844962E-02,
2461132.626076389, A.D. 2026-Apr-02 03:01:33.0000, -3.840162503940855E+05, -8.449092319142426E+04, -1.998509662097338E+04,  1.805564613965664E-01, -9.844127052551519E-01, -7.691867066629110E-02,
2461132.626770834, A.D. 2026-Apr-02 03:02:33.0000, -3.840054124909794E+05, -8.454998695943787E+04, -1.998971150192830E+04,  1.807069742981799E-01, -9.843795580431088E-01, -7.691069421392549E-02,
2461132.627465278, A.D. 2026-Apr-02 03:03:33.0000, -3.839945655573107E+05, -8.460904873793072E+04, -1.999432590424506E+04,  1.808574801493127E-01, -9.843463878949014E-01, -7.690271606160193E-02,
2461132.628159722, A.D. 2026-Apr-02 03:04:33.0000, -3.839837095935026E+05, -8.466810852552656E+04, -1.999893982782169E+04,  1.810079789467044E-01, -9.843131948121190E-01, -7.689473620957005E-02,
2461132.628854167, A.D. 2026-Apr-02 03:05:33.0000, -3.839728445999783E+05, -8.472716632084949E+04, -2.000355327255621E+04,  1.811584706870951E-01, -9.842799787963518E-01, -7.688675465807909E-02,
2461132.629548611, A.D. 2026-Apr-02 03:06:33.0000, -3.839619705771614E+05, -8.478622212252350E+04, -2.000816623834667E+04,  1.813089553672255E-01, -9.842467398491905E-01, -7.687877140737837E-02,
2461132.630243056, A.D. 2026-Apr-02 03:07:33.0000, -3.839510875254755E+05, -8.484527592917281E+04, -2.001277872509111E+04,  1.814594329838366E-01, -9.842134779722265E-01, -7.687078645771755E-02,
2461132.630937500, A.D. 2026-Apr-02 03:08:33.0000, -3.839401954453446E+05, -8.490432773942161E+04, -2.001739073268763E+04,  1.816099035336698E-01, -9.841801931670511E-01, -7.686279980934585E-02,
2461132.631631944, A.D. 2026-Apr-02 03:09:33.0000, -3.839292943371928E+05, -8.496337755189431E+04, -2.002200226103428E+04,  1.817603670134668E-01, -9.841468854352563E-01, -7.685481146251300E-02,
2461132.632326389, A.D. 2026-Apr-02 03:10:33.0000, -3.839183842014444E+05, -8.502242536521534E+04, -2.002661331002916E+04,  1.819108234199700E-01, -9.841135547784343E-01, -7.684682141746857E-02,
2461132.633020833, A.D. 2026-Apr-02 03:11:33.0000, -3.839074650385240E+05, -8.508147117800926E+04, -2.003122387957042E+04,  1.820612727499219E-01, -9.840802011981784E-01, -7.683882967446160E-02,
2461132.633715278, A.D. 2026-Apr-02 03:12:33.0000, -3.838965368488561E+05, -8.514051498890069E+04, -2.003583396955614E+04,  1.822117150000654E-01, -9.840468246960813E-01, -7.683083623374209E-02,
2461132.634409722, A.D. 2026-Apr-02 03:13:33.0000, -3.838855996328656E+05, -8.519955679651437E+04, -2.004044357988451E+04,  1.823621501671440E-01, -9.840134252737368E-01, -7.682284109555954E-02,
2461132.635104167, A.D. 2026-Apr-02 03:14:33.0000, -3.838746533909777E+05, -8.525859659947513E+04, -2.004505271045366E+04,  1.825125782479017E-01, -9.839800029327397E-01, -7.681484426016333E-02,
2461132.635798611, A.D. 2026-Apr-02 03:15:33.0000, -3.838636981236176E+05, -8.531763439640797E+04, -2.004966136116178E+04,  1.826629992390824E-01, -9.839465576746833E-01, -7.680684572780350E-02,
2461132.636493056, A.D. 2026-Apr-02 03:16:33.0000, -3.838527338312109E+05, -8.537667018593781E+04, -2.005426953190708E+04,  1.828134131374309E-01, -9.839130895011636E-01, -7.679884549872912E-02,
2461132.637187500, A.D. 2026-Apr-02 03:17:33.0000, -3.838417605141831E+05, -8.543570396668983E+04, -2.005887722258770E+04,  1.829638199396923E-01, -9.838795984137755E-01, -7.679084357319049E-02,
2461132.637881944, A.D. 2026-Apr-02 03:18:33.0000, -3.838307781729601E+05, -8.549473573728921E+04, -2.006348443310193E+04,  1.831142196426118E-01, -9.838460844141149E-01, -7.678283995143681E-02,
2461132.638576389, A.D. 2026-Apr-02 03:19:33.0000, -3.838197868079680E+05, -8.555376549636132E+04, -2.006809116334797E+04,  1.832646122429355E-01, -9.838125475037781E-01, -7.677483463371804E-02,
2461132.639270833, A.D. 2026-Apr-02 03:20:33.0000, -3.838087864196331E+05, -8.561279324253148E+04, -2.007269741322406E+04,  1.834149977374095E-01, -9.837789876843620E-01, -7.676682762028392E-02,
2461132.639965278, A.D. 2026-Apr-02 03:21:33.0000, -3.837977770083817E+05, -8.567181897442529E+04, -2.007730318262848E+04,  1.835653761227803E-01, -9.837454049574632E-01, -7.675881891138397E-02,
2461132.640659722, A.D. 2026-Apr-02 03:22:33.0000, -3.837867585746406E+05, -8.573084269066826E+04, -2.008190847145952E+04,  1.837157473957952E-01, -9.837117993246796E-01, -7.675080850726823E-02,
2461132.641354166, A.D. 2026-Apr-02 03:23:33.0000, -3.837757311188365E+05, -8.578986438988618E+04, -2.008651327961546E+04,  1.838661115532016E-01, -9.836781707876089E-01, -7.674279640818660E-02,
2461132.642048611, A.D. 2026-Apr-02 03:24:33.0000, -3.837646946413966E+05, -8.584888407070472E+04, -2.009111760699461E+04,  1.840164685917473E-01, -9.836445193478501E-01, -7.673478261438854E-02,
2461132.642743056, A.D. 2026-Apr-02 03:25:33.0000, -3.837536491427480E+05, -8.590790173174991E+04, -2.009572145349531E+04,  1.841668185081805E-01, -9.836108450070014E-01, -7.672676712612397E-02,
2461132.643437500, A.D. 2026-Apr-02 03:26:33.0000, -3.837425946233181E+05, -8.596691737164758E+04, -2.010032481901586E+04,  1.843171612992499E-01, -9.835771477666625E-01, -7.671874994364308E-02,
2461132.644131945, A.D. 2026-Apr-02 03:27:33.0000, -3.837315310835346E+05, -8.602593098902394E+04, -2.010492770345464E+04,  1.844674969617045E-01, -9.835434276284326E-01, -7.671073106719556E-02,
2461132.644826389, A.D. 2026-Apr-02 03:28:33.0000, -3.837204585238253E+05, -8.608494258250509E+04, -2.010953010671004E+04,  1.846178254922939E-01, -9.835096845939122E-01, -7.670271049703126E-02,
2461132.645520833, A.D. 2026-Apr-02 03:29:33.0000, -3.837093769446182E+05, -8.614395215071729E+04, -2.011413202868043E+04,  1.847681468877679E-01, -9.834759186647017E-01, -7.669468823340003E-02,
2461132.646215278, A.D. 2026-Apr-02 03:30:33.0000, -3.836982863463415E+05, -8.620295969228698E+04, -2.011873346926420E+04,  1.849184611448768E-01, -9.834421298424020E-01, -7.668666427655219E-02,
2461132.646909722, A.D. 2026-Apr-02 03:31:33.0000, -3.836871867294237E+05, -8.626196520584056E+04, -2.012333442835975E+04,  1.850687682603712E-01, -9.834083181286146E-01, -7.667863862673735E-02,
2461132.647604167, A.D. 2026-Apr-02 03:32:33.0000, -3.836760780942932E+05, -8.632096869000464E+04, -2.012793490586555E+04,  1.852190682310023E-01, -9.833744835249412E-01, -7.667061128420594E-02,
2461132.648298611, A.D. 2026-Apr-02 03:33:33.0000, -3.836649604413789E+05, -8.637997014340576E+04, -2.013253490168002E+04,  1.853693610535214E-01, -9.833406260329846E-01, -7.666258224920752E-02,
2461132.648993055, A.D. 2026-Apr-02 03:34:33.0000, -3.836538337711098E+05, -8.643896956467081E+04, -2.013713441570162E+04,  1.855196467246807E-01, -9.833067456543467E-01, -7.665455152199224E-02,
2461132.649687500, A.D. 2026-Apr-02 03:35:33.0000, -3.836426980839150E+05, -8.649796695242661E+04, -2.014173344782882E+04,  1.856699252412322E-01, -9.832728423906307E-01, -7.664651910281062E-02,
2461132.650381945, A.D. 2026-Apr-02 03:36:33.0000, -3.836315533802240E+05, -8.655696230530003E+04, -2.014633199796011E+04,  1.858201965999287E-01, -9.832389162434407E-01, -7.663848499191211E-02,
2461132.651076389, A.D. 2026-Apr-02 03:37:33.0000, -3.836203996604663E+05, -8.661595562191818E+04, -2.015093006599401E+04,  1.859704607975233E-01, -9.832049672143803E-01, -7.663044918954726E-02,
2461132.651770833, A.D. 2026-Apr-02 03:38:33.0000, -3.836092369250716E+05, -8.667494690090817E+04, -2.015552765182905E+04,  1.861207178307696E-01, -9.831709953050539E-01, -7.662241169596612E-02,
2461132.652465278, A.D. 2026-Apr-02 03:39:33.0000, -3.835980651744700E+05, -8.673393614089720E+04, -2.016012475536372E+04,  1.862709676964213E-01, -9.831370005170664E-01, -7.661437251141873E-02,
2461132.653159722, A.D. 2026-Apr-02 03:40:33.0000, -3.835868844090914E+05, -8.679292334051267E+04, -2.016472137649659E+04,  1.864212103912330E-01, -9.831029828520227E-01, -7.660633163615560E-02,
2461132.653854167, A.D. 2026-Apr-02 03:41:33.0000, -3.835756946293665E+05, -8.685190849838195E+04, -2.016931751512624E+04,  1.865714459119591E-01, -9.830689423115286E-01, -7.659828907042665E-02,
2461132.654548611, A.D. 2026-Apr-02 03:42:33.0000, -3.835644958357256E+05, -8.691089161313260E+04, -2.017391317115122E+04,  1.867216742553550E-01, -9.830348788971909E-01, -7.659024481448201E-02,
2461132.655243055, A.D. 2026-Apr-02 03:43:33.0000, -3.835532880285995E+05, -8.696987268339218E+04, -2.017850834447017E+04,  1.868718954181761E-01, -9.830007926106152E-01, -7.658219886857226E-02,
2461132.655937500, A.D. 2026-Apr-02 03:44:33.0000, -3.835420712084191E+05, -8.702885170778843E+04, -2.018310303498169E+04,  1.870221093971783E-01, -9.829666834534089E-01, -7.657415123294736E-02,
2461132.656631944, A.D. 2026-Apr-02 03:45:33.0000, -3.835308453756156E+05, -8.708782868494920E+04, -2.018769724258433E+04,  1.871723161891181E-01, -9.829325514271791E-01, -7.656610190785795E-02,
2461132.657326389, A.D. 2026-Apr-02 03:46:33.0000, -3.835196105306202E+05, -8.714680361350234E+04, -2.019229096717684E+04,  1.873225157907520E-01, -9.828983965335339E-01, -7.655805089355400E-02,
